Ente,Titolo dell'iniziativa,Descrizione dell'iniziativa,"Destinatari, fruitori dell'iniziativa",Tempistiche dell'iniziativa,Metriche di valutazione dell'impatto,Eventuali partner coinvolti nell'iniziativa,Data Approvazione
ACCA software S.p.A. ,Corsi di formazione sul BIM (Building information Modeling),"ACCA software collabora con le scuole per diffondere la cultura digitale nel settore delle costruzioni. Da tre anni contribuisce attivamente alla formazione di giovani studenti degli Istituti tecnici superiori con corsi di formazione sul BIM (Building information Modeling). ACCA promuove la cultura digitale attraverso i “Percorsi per le Competenze Trasversali e per l’Orientamento” ex Alternanza Scuola Lavoro con l’utilizzo delle più innovative tecnologie digitali BIM a servizio della progettazione architettonica, del computo metrico, della sicurezza cantieri, della certificazione energetica.

Per lo svolgimento del corso, che si articola in tre anni, ACCA ha predisposto specifici contenuti su una piattaforma digitale di e-learnig. Attualmente sono attive circa 70 classi digitali con più di mille potenziali utenti attivi. Per ogni classe viene nominato un tutor scolastico che segue gli alunni nella didattica, nel corretto svolgimento dei compiti e nel rispetto dei tempi indicati. Per ogni classe digitale sono caricate delle lezioni, organizzate secondo un principio di apprendimento graduale e secondo obiettivi specifici da raggiungere per ogni singola lezione (apprendimento step by step).

Ogni lezione è costituita da:
- VideoTutorial: che permettono l’apprendimento delle nozioni
- Quiz a risposta multipla: che permettono di verificare il corretto apprendimento delle lezioni
- Esercitazione pratica: che prevede lo svolgimento di uno specifico compito con la consegna di un elaborato realizzato dagli alunni in modo individuale.

Tutte le attività che gli studenti svolgono sono monitorate dai tutor attraverso specifiche funzioni di amministrazione che la piattaforma di e-learning mette a disposizione. Le lezioni possono essere seguite dagli alunni da qualsiasi dispositivo dotato di connessione ad internet; per accedere alla classe digitale occorre avere soltanto delle credenziali di accesso nominative (user e password personali). Per lo svolgimento dell'esercitazione pratica, ACCA ha reso disponibile in modo gratuito, le versioni educational dei software scaricabili dal sito internet: https://www.acca.it/software-educational

Le scuole, attraverso una convenzione con ACCA, si impegnano alla nomina di tutor scolastici che seguono i ragazzi per l’intera durata del corso. Acca predispone anche una specifica formazione avanzata che permette di fornire ai tutor scolastici le giuste competenze per la gestione della didattica e della piattaforma stessa. La verifica dei compiti e del corretto svolgimento dei quiz, nel rispetto dei tempi previsti dal percorso, vengono gestiti con l’utilizzo di registri digitali di classe che permettono di monitorare l’andamento della classe attraverso la verifica del lavoro svolto da ogni singolo alunno.
Alla fine del percorso ACCA rilascia un attestato di partecipazione.","I fruitori del progetto sono gli alunni degli Istituti Tecnici Secondari. ACCA software collabora con le scuole per diffondere la cultura digitale nel settore delle costruzioni.
Da tre anni contribuisce attivamente alla formazione di giovani studenti degli Istituti tecnici superiori con corsi di formazione sul BIM. Attualmente sono iscritti sulla piattaforma digitale, circa 70 classi con più di mille potenziali utenti attivi.","Il corso si sviluppa in tre anni (ultimi tre anni dell'istituto tecnico secondario). Ogni anno nuove classi sia aggiungono al progetto, partendo dalla classe terza il percorso si conclude in quinta con la discussione del progetto in sede di esame di stato. ","Per ogni classe digitale sono caricate delle lezioni, organizzate secondo un principio di apprendimento graduale e secondo obiettivi specifici da raggiungere per ogni singola lezione (apprendimento step by step). 
Ogni lezione è costituita da
- VideoTutorial: (fruibili da qualsiasi dispositivo) che permettono l’apprendimento delle nozioni
- Quiz a risposta multipla: per verificare il corretto apprendimento delle lezioni 
- Esercitazione pratica che prevede lo svolgimento di uno specifico compito con la consegna di un elaborato realizzato dagli alunni in modo individuale.
Tutte le attività che gli studenti svolgono sono monitorate dai tutor attraverso specifiche funzioni di amministrazione che la piattaforma Edmodo mette a disposizione.
Le lezioni possono essere seguite dagli alunni da qualsiasi dispositivo dotato di connessione ad internet; per accedere alla classe digitale occorre avere soltanto delle credenziali di accesso nominative (user e password personali) ",,2019-07-19 13:13:02
Accademia Italiana Videogiochi,Didattica Immersiva,"Creazione di uno strumento per la metodologia dell'apprendimento denominato ""Didattica Immersiva"" dedicato alle scuole, nella fattispecie quelle superiori di ogni ordine. La Didattica immersiva affiancherà il normale protocollo semantico (i libri di testo) con quello visuale grazie a dei moduli sviluppati per la realtà virtuale, fornendo un sostegno importante ed innovativo al processi di apprendimento.  
In particolare, il modulo “geografia astronomica: planetary Defense System” costituirà la prima lezione ufficiale in VR.
A questa seguirà un palinsesto che sarà concordata di volta in volta con la rete di scuole già attivate nel Lazio",Studenti di scuole superiori ,Nella sua fase di inception l'iniziativa è stata già presentata con successo durante un evento che ha raccolto 400 dirigenti scolastici e che si è svolta nell'ITIS Galilei. A valle di questa iniziativa 70 dirigenti si sono già formati in rete per poter poi proporre nelle loro classi i moduli di Didattica Immersiva. L'avvio dei corsi è previsto nel 2020,"* scuole che aderiscono all'iniziativa
* studenti formati",European Space Agency,2020-01-08 11:34:58
ACI Informatica S.p.A.,Creazione di consapevolezza digitale,"Il progetto ha l’obiettivo di sviluppare un’azione estesa su tutto il territorio nazionale, attuata coinvolgendo le aziende in house ed il loro personale, con l’obiettivo di supportare il processo di creazione di consapevolezza digitale negli studenti del 4° e 5° anno delle scuole superiori. 
Ciò verrà fatto attraverso lo sviluppo di laboratori ai quali prenderanno parte gli studenti e che vedranno la partecipazione degli animatori digitali e dei membri del team innovazione delle scuole, al fine di favorire la replicabilità dell’iniziativa nei successivi anni scolastici. Il coinvolgimento degli studenti sarà garantito ascrivendo l’azione nell’ambito delle attività previste nel contesto dell’alternanza scuola-lavoro, sulla base della quale si definiranno i dettagli operativi della logica progettuale. 
Il modello prevede un approccio scalabile, così che nel tempo e con il susseguirsi delle edizioni possa ampliarsi la rosa dei temi affrontati, tuttavia si prevede di iniziare con due tematiche fortemente connesse tra di loro:
• Consapevolezza nell’uso degli strumenti e dei contesti di comunicazione digitale (media literacy)
• Capacità di comprendere le dinamiche degli strumenti di comunicazione digitale e sfruttarne positivamente le caratteristiche (media hacking)

I due percorsi, che possono essere considerati uno l’approfondimento dell’altro, consistono nel porre gli studenti che vi prenderanno parte di fronte a delle “missioni” da compiere utilizzando gli strumenti digitali, di volta in volta “attaccando” o “difendendo” un obiettivo adottando una logica ripresa dalla formazione degli adulti finalizzata all’apprendimento delle regole e degli strumenti dell’OSINT (Open Source Intelligence), rispetto alla quale si svilupperà un’azione di gamification finalizzata a rendere il percorso più coinvolgente per il target, costituito da ragazzi. 
In questo contesto, i partecipanti all’iniziativa impareranno a conoscere mezzi, strumenti, dinamiche, regole e contesti sottesi ai social media ed ai temi sollevati dalla sempre maggiore diffusione delle tecnologie leading edge e le loro conseguenze (dai big data all’intelligenza artificiale e blockchain, dalla privacy alle fake news ed i deep fake), comprendendo come muoversi in questo contesto, senza limitarsi ad essere semplici “utenti”, passivi nella fruizione dei servizi offerti, ma attori attivi e protagonisti del cambiamento. 
Il progetto sarà formalizzato su modello schoolkit MIUR da pubblicare su portale nazionale per renderne possibile la fruizione da parte di altri istituti scolastici. 
L’iniziativa si basa su un approccio hub & spoke, in cui ACI Informatica si configura come Hub della rete delle in house. In altri termini si assume il compito di coinvolgere le altre in house per far scalare il progetto sul territorio, ampliandone il bacino di azione. A tale scopo verrà quindi creata una rete di “fellow” del progetto, ossia manager delle aziende coinvolte che “doneranno” un po’ del loro tempo all’iniziativa, a valle di un percorso di formazione formatori che garantisca il loro livello minimo di preparazione, tanto sul fronte pedagogico, che istruzionale che di contenuto. I fellow saranno inoltre accompagnati in aula – in parte del percorso – da formatori professionisti. 

ACI Informatica – con il supporto del Digital Transformation Institute – avrà quindi il compito, nella prima fase del progetto, di:
• modellizzare l’azione;
• sviluppare la progettazione di dettaglio;
• realizzare i contenuti di base;
• preoccuparsi della selezione e successiva formazione dei fellow;
• identificare i key performance indicator;
• promuovere il progetto verso le scuole;
• curare le attività di coordinamento e gestione della rete;
• monitorare la qualità dell’iniziativa.

I punti di forza principali dell’approccio sono i seguenti:
• la modellizzazione favorisce la replicabilità dell’iniziativa;
• il modello hub & spoke garantisce la diffusione nazionale;
• la possibilità di sfruttare il processo di alternanza scuola-lavoro favorisce la partecipazione degli studenti;
• lo sviluppo di format e materiali standard assicura l’uniformità dell’azione;
• l’attività di selezione dei fellow garantisce la qualità della didattica;
• l’affiancamento a formatori professionisti assicura il rispetto del modello formativo e l’apprendimento delle dinamiche d’aula da parte dei manager attraverso il learning by doing.","Studentesse e studenti del 4° e 5° anno delle scuole superiori, senza distinzione di tipologia di istituto. La varietà delle provenienze garantirà fertilizzazione incrociata e completezza dell’azione. ","• Prima edizione con l'avvio di un pilota da effettuarsi con 3-5 Istituti Scolastici. In questo caso le tempistiche saranno concordate nel rispetto dei programmi di alternanza scuola-lavoro già avviati dagli Istituti. Si individuerà quindi la prima finestra scolastica sostenibile per i vari Istituti entro l’anno scolastico 2019-2020
• Edizioni successive sul territorio a partire dal secondo trimestre dello stesso anno","Nella costruzione del progetto saranno sviluppati KPI che consentiranno di valutare l’efficacia dell’azione sulla base dei risultati conseguiti dagli studenti. In particolare, il livello di consapevolezza verrà misurato attraverso analisi comparata (ante e post) dei comportamenti degli utenti coinvolti e della loro attività sui social media (rilevazione effettuata attraverso la compilazione di test di valutazione). ",Digital Transformation Institute,2019-09-08 13:03:12
AICA - Associazione Italiana per l'Informatica ed il Calcolo Automatico,ICDL Workforce e ICDL Professional,"Con i progetti “ICDL Workforce” e “ICDL Professional” AICA si propone lo sviluppo di competenze digitali certificate in ambito ICDL (International Certification of Digital Literacy), verso persone in cerca di occupazione e lavoratori (Workforce), specialisti di ambiti professionali evoluti (Professional).
Il 2020 è l’anno in cui si avvieranno operativamente le nuove proposte ICDL, che di fatto sostituiranno la precedente Patente Europea del Computer (ECDL)

","Persone in cerca di occupazione e lavoratori (Workforce), specialisti di ambiti professionali evoluti (Professional)",gennaio-dicembre 2020,"* numero di nuove iscrizioni al programma
* numero di esami di certificazione sostenuti
* percentuali di superamento delle prove, 
* punteggi ottenuti
",oltre 2000 scuole e centri di formazione qualificati da AICA come Test Center,2020-01-15 10:34:58
Altroconsumo,Vivi Internet al meglio,"Nel novembre 2018 Altroconsumo, in collaborazione con Google e Telefono Azzurro, ha lanciato la campagna “Vivi Internet al meglio” con l’obiettivo di aiutare i più giovani a vivere il web responsabilmente, attraverso semplici strumenti per apprendere i principi base dell’educazione digitale. Il progetto si pone in continuità con le iniziative avviate negli anni scorsi da Google e Altroconsumo per formare le persone all’utilizzo del web in sicurezza, e si propone di promuovere la cittadinanza digitale tra i giovani attraverso un percorso formativo che si rivolge ai ragazzi, alle famiglie e agli educatori. 
In occasione dell’edizione 2019 del Festival Altroconsumo “Strabene – Scelte e tecnologie per vivere in salute” nei giorni 28 e 29 settembre 2019 abbiamo organizzato uno degli eventi in programma. Nel corso del 2020 verranno organizzate altre iniziative.
“Vivi Internet, al meglio” mette al centro sei tematiche di assoluta rilevanza: reputazione online, phishing e truffe, privacy e sicurezza, molestie e bullismo online, segnalazione di contenuti inappropriati, digital well-being con lo scopo di insegnare a vivere il web responsabilmente e in sicurezza.
 

",Adulti da 30 a 65 anni di età,Da novembre 2018 a giugno 2020,* numero di persone coinvolte,Google - Telefono Azzurro,2020-01-15 09:34:58
Anitec-Assinform ,Premio Nazionale sull’Innovazione Digitale,"Il «Premio Nazionale sull’Innovazione Digitale» è una iniziativa promossa da  Anitec-Assinform in collaborazione con il MIUR diretta alle scuole medie superiori, istituti tecnici, professionali, licei.
L’intento è quello di coinvolgere studenti e insegnanti in una azione proattiva di sensibilizzazione e orientamento per favorire la transizione al digitale del mondo della scuola, delle famiglie e della società nel suo insieme, valorizzando il ruolo e l’apporto delle tecnologie digitali.
L’iniziativa intende:
* far emergere e dar vita ad una rete di nuovi progetti promossi o realizzati dalle scuole, in modo da generare nuove partnership, tra scuola e aziende e tra le Istituzioni e l’Associazione Anitec-Assinform; 
* favorire la messa a fattor comune tra esperienze degli studenti ed il lavoro delle aziende, creando un ideale «passaggio di testimone»
* sostenere la diffusione della cultura digitale perchè la tecnologia digitale è un forte abilitatore sia per i processi di insegnamento e apprendimento,  sia per lo sviluppo di nuove competenze digitali richieste dal mondo del lavoro.
","Studenti delle scuole medie superiori, istituti tecnici, professionali, licei.",30 gennaio 2020- 29 maggio 2020 presentazione Progetti legati al Premio. Valutazione Progetti entro 30 giugno 2020; Cerimonia di premiazione autunno 2020 ,"* numero di scuole che aderiscono all'iniziativa
* numero di studenti partecipanti",,2020-01-08 11:51:58
ANORC,#ClubTI4SPID,"Progetto in collaborazione con ClubTI Milano
Il Club TI Milano lavora fin dal 2017, anche con AgID e Team per la Trasformazione Digitale, e dal maggio 2018 con gli Identity Provider SPID, per stimolare l’adozione di SPID da parte delle aziende. 
A febbraio 2019, un anno dopo la pubblicazione completa della convenzione che permette alle imprese di usare SPID per autenticare chi usa i loro servizi digitali, tutte le (poche) aziende candidatesi avevano rinunciato! 
Per aiutare a sbloccare la situazione il Club ha lanciato #ClubTI4SPID.

#ClubTI4SPID è un gruppo di esperti di identità digitali e del mercato privato dei servizi digitali, che contribuiscono a titolo personale. È aperto ad esperti e cittadini desiderosi di contribuire alla diffusione di SPID sul mercato. 

Tra febbraio e luglio 2019 il gruppo produce e propone ad AgID e al Team per la Trasformazione Digitale raccomandazioni su tre temi chiave, che riteniamo utili perché le imprese e i cittadini comprendano meglio l'importanza di SPID:
1. ""chiarire la direzione"" in cui procede SPID 
2. ""accelerare lo switch-off"" delle identità digitali tradizionali (""PIN"") da parte delle pubbliche amministrazioni che le avevano realizzate e ora hanno adottato SPID, per far maturare il servizio e per dimostrare alle imprese che SPID è davvero l'identità digitale di riferimento per tutti i servizi delle PA italiane.
3. ""stimolare il mercato"" dotando SPID di strumenti tecnici e commerciali necessari alle imprese per valutarla e adottarla.

Da settembre 2019 il gruppo avvierà nuove attività in funzione dell'evoluzione di SPID e dei risultati delle proprie raccomandazioni.

Club TI Milano riferisce mensilmente dei progressi di #ClubTI4SPID e di quelli dell'ecosistema SPID su Inno3 News.",Aziende e imprese senza scopo di lucro interessati a valutare l'opportunità di diventare Service Provider privati di SPID,"Da febbraio a dicembre 2019.

0. Documentare la situazione di SPID a inizio 2019 dal punto di vista delle aziende
A febbraio 2019
1. Identificare azioni che possano incoraggiare le aziende ad adottare SPID, e proporle ad AgID, alle aziende e ad altre organizzazioni
Da aprile a settembre 2019
2. Ingaggiare almeno una organizzazione privata, con o senza scopo di lucro, che si impegni a valutare di sottoscrivere la convenzione per i service provider privati e a condividere pubblicamente i risultati e le motivazioni della loro valutazione
Entro settembre 2019
3a. Aiutare almeno una organizzazione a sottoscrivere la convenzione
Presentazione della domanda: dicembre 2019
Approvazione della domanda: marzo 2020
O in alternativa
3b. Documentare pubblicamente le ragioni, emerse dalle attività precedenti, per le quali l’organizzazione rinunciasse ad adottare SPID, e quindi il gruppo di lavoro e il Club ritenessero di sconsigliare alle imprese di adottare SPID
Entro dicembre 2019
4. Pubblicare ogni mese un aggiornamento sulle attività del gruppo di lavoro, e sulle evoluzioni dell’ SPID che il club riterrà più significative per le imprese.
Ogni mese da febbraio a dicembre 2019","Rispetto dei tempi di rilascio delle milestone
Numero di organizzazioni coinvolte 
Numero di organizzazioni che sono diventate service provider SPID","AssoPam, Associazione per Agenti e Mediatori",2019-11-21 17:51:25
APS Palestra Per la Mente,Laboratori di Educazione al Digitale,"Laboratori di Educazione al Digitale aperti alla cittadinanza con l’obiettivo di divulgare strumenti e metodologie per sviluppare la cultura scientifico tecnologica e contrastare il digital gap intergenerazionale e contrastare ogni forma di analfabetismo digitale.
I Laboratori di Educazione al Digitale si svolgeranno all’interno del Dipartimento di Ingegneria Elettrica Elettronica e Informatica dell’Università di Catania dove, con l’utilizzo dei laboratori e di strumenti universitari, si coinvolgeranno i giovani accompagnati dai genitori o dai nonni in attività di Coding, Robotica; con approccio Creative Learning i gruppi di giovani ed adulti verranno condotti alla creazione di un Videogioco, di un App o alla corretta esecuzione di “missioni” con i robot disponibili nella Tecnoteca associativa.
Sia per i giovani che per gli adulti nel corso dei momenti laboratoriali verranno discusse le tematiche del Cyberbullismo, Educazione Civica Digitale, Open Data e Monitoraggio Civico utilizzando le risorse web presenti in: Generazioni Connesse, Open Coesione,Scuola in Chiaro, dati.gov.it.","Giovani di età compresa fra i 10 ed i 17 anni che, accompagnati dai genitori, realizzeranno un app utilizzando il software gratuito AppInventor utilizzando gli open data dell'Ispra ed i dati disponibili sul portale Open Coesione","realizzeremo 1 laboratorio ad ottobre 2019 e 3 laboratori nei mesi Febbraio, Maggio e Ottobre 2020;",Numero di partecipanti provenienti da altri comuni; numero di partecipanti che partecipano a più di un incontro; numero di partecipanti che pubblicano l'App creata nel repository mondiale AppInventor; numero di genitori coinvolti nell'attività di realizzazione dell'App; numero di scuole rappresentate ,Kid Tech,2019-10-15 12:14:21
Comune di Milano,In de per mi – Faccio da solo!,"“In de per mi – Faccio da solo!” è un progetto di alternanza scuola-lavoro che permette ai ragazzi di svolgere un’attività di formazione e di addestramento sul campo per tutti coloro che si rivolgono agli sportelli fisici per richiedere documenti e certificati fisici già disponibili online. I ragazzi aiutano i cittadini nella familiarizzazione all’utilizzo delle procedure online per i principali servizi civici. 
Avviato nel dicembre 2016, nel luglio 2019 conta più di 1000 ragazzi che hanno svolto questa attività all’interno dei saloni delle anagrafi.
 L’obiettivo è quello di creare un passaggio di conoscenza tra utenti nativi digitali ad utenti meno esperti, in modo semplice e familiare.",Cittadinanza che non ha dimestichezza con il digitale.,"L’iniziativa è stata avviata nell'anno scolastico 2016/2017 ed è stata rinnovata per gli anni successivi, compreso il 2019/2020.","La valutazione sarà effettuata misurando
*numero dei ragazzi coinvolti nel progetto
* numero e incremento di scuole coinvolte 
* numero di cittadini raggiunti","Al momento non risultano partner coinvolti, ma ne siamo alla ricerca affinché si possa fornire un servizio ancora più efficace alla cittadinanza. Al seguente link è possibile reperire il nostro bando per la ricerca partner/sponsor: https://web.comune.milano.it/dseserver/webcity/garecontratti.nsf/51607b595b240841c1256c4500569c90/f08bddaa8dfc9e79c1258178005033bf/$FILE/Bando%20aperto%20Educazione%20Digitale%20scadenza%2016%20settembre%202019%20ore%2016.pdf",2019-09-04 18:37:53
Associazione InnovaFiducia,Piattaforma digitale di coaching e formazione alle digital skills e le nuove competenze allineate con la visione di industria 4.0,"L'iniziativa si basa su una piattaforma digitale di coaching e formazione alle digital skills, allineando le nuove competenze con la visione di industria 4.0. 
Gli obiettivi sono la costituzione di una community di riferimento per evitare il rischio di esclusione sociale e l'offerta dell'opportunità di un collegamento con il mondo del lavoro, favorendo conoscenza e occupabilità in un mercato in trasformazione e sempre più digitale.",Giovani dai 18 ai 29 anni con particolare attenzione ai NEET,febbraio 2018- luglio 2019,Nell'obiettivo di co-progettazione delle funzionalità della piattaforma 80 ragazzi hanno partecipato a TIPOHack ottobre 2018; 10 ragazzi hanno seguito lo sviluppo del prototipo e la costruzione dei contenuti,Fondazione TIM e InfoCamere,2019-07-23 12:19:28
